movie_id,title,genre,description
1,Inception,sci-fi thriller,a thief enters dreams to steal secrets from deep within the subconscious mind
2,The Dark Knight,action thriller,batman faces the joker a criminal mastermind who plunges gotham into anarchy
3,Interstellar,sci-fi drama,astronauts travel through a wormhole near saturn to find a new home for humanity
4,Parasite,drama thriller,a poor family schemes to become employed by a wealthy family with unexpected results
5,The Shawshank Redemption,drama,two imprisoned men bond over years finding solace and redemption through kindness
6,Avengers Endgame,action sci-fi,the avengers assemble once more to reverse thanos snap and restore the universe
7,The Godfather,drama crime,aging patriarch of a crime dynasty transfers control to his reluctant youngest son
8,Pulp Fiction,thriller crime,lives of criminals intertwine in four stories of violence redemption and dark humor
9,The Matrix,sci-fi action,a hacker discovers reality is a simulation and joins a rebellion against machines
10,Forrest Gump,drama romance,a slow-witted kind man witnesses and influences several defining historical events
11,Joker,drama thriller,a failed comedian descends into madness and becomes the criminal known as joker
12,Get Out,horror thriller,a black man visits his white girlfriends family and uncovers a disturbing secret
